sample_id,source,plausible,plausible_reason,topical,topical_reason,contradicts,contradiction_reason,all_pass
hotpotqa_0141,hotpotqa,1,len=44,1,hits=7/30,1,gold absent (contradicts by alternative),1
hotpotqa_0100,hotpotqa,1,len=39,1,hits=2/19,1,gold absent (contradicts by alternative),1
musique_0658,musique,1,len=51,1,hits=3/16,1,gold absent (contradicts by alternative),1
hotpotqa_0900,hotpotqa,1,len=48,1,hits=8/28,1,gold absent (contradicts by alternative),1
musique_0742,musique,1,len=40,1,hits=3/28,1,gold absent (contradicts by alternative),1
hotpotqa_0642,hotpotqa,1,len=49,1,hits=6/36,1,gold absent (contradicts by alternative),1
hotpotqa_0264,hotpotqa,1,len=52,1,hits=4/27,1,gold absent (contradicts by alternative),1
squad_0185,squad,1,len=51,1,hits=3/18,1,gold absent (contradicts by alternative),1
musique_0320,musique,1,len=45,1,hits=4/21,1,gold absent (contradicts by alternative),1
hotpotqa_0924,hotpotqa,1,len=46,1,hits=5/27,1,gold absent (contradicts by alternative),1
hotpotqa_0463,hotpotqa,1,len=34,1,hits=4/31,0,gold appears affirmatively,0
hotpotqa_0862,hotpotqa,1,len=36,0,hits=0/33,1,gold absent (contradicts by alternative),0
hotpotqa_0711,hotpotqa,1,len=49,1,hits=7/14,1,gold absent (contradicts by alternative),1
musique_0976,musique,1,len=48,1,hits=6/20,1,gold absent (contradicts by alternative),1
hotpotqa_0967,hotpotqa,1,len=50,1,hits=8/19,1,gold absent (contradicts by alternative),1
squad_0094,squad,1,len=40,1,hits=2/7,1,gold absent (contradicts by alternative),1
hotpotqa_0667,hotpotqa,1,len=58,1,hits=4/21,1,gold absent (contradicts by alternative),1
hotpotqa_0718,hotpotqa,1,len=45,1,hits=3/30,1,gold absent (contradicts by alternative),1
hotpotqa_0715,hotpotqa,1,len=42,1,hits=3/27,1,gold negated,1
hotpotqa_0835,hotpotqa,1,len=53,1,hits=9/21,1,gold absent (contradicts by alternative),1
hotpotqa_0294,hotpotqa,1,len=46,1,hits=4/17,1,gold absent (contradicts by alternative),1
hotpotqa_0250,hotpotqa,1,len=42,0,hits=0/4,1,gold absent (contradicts by alternative),0
musique_0265,musique,1,len=56,1,hits=3/27,1,gold absent (contradicts by alternative),1
squad_0452,squad,1,len=41,1,hits=2/43,1,gold absent (contradicts by alternative),1
musique_0186,musique,1,len=34,1,hits=6/22,1,gold absent (contradicts by alternative),1
musique_0746,musique,1,len=46,1,hits=1/21,1,gold absent (contradicts by alternative),1
hotpotqa_0965,hotpotqa,1,len=49,1,hits=7/19,1,gold absent (contradicts by alternative),1
