model,variant_code,n_ok,n_api_error,n_model_empty,n_unparseable,total
claude-haiku-4-5-20251001,V1,1907,593,0,0,2500
claude-haiku-4-5-20251001,V2,1908,592,0,0,2500
claude-haiku-4-5-20251001,V3,1908,592,0,0,2500
claude-haiku-4-5-20251001,V4,1908,592,0,0,2500
claude-haiku-4-5-20251001,V5,1907,593,0,0,2500
claude-haiku-4-5-20251001,V6,1906,594,0,0,2500
claude-haiku-4-5-20251001,TOTAL,11444,3556,0,0,15000
claude-sonnet-4-6,V1,1251,1249,0,0,2500
claude-sonnet-4-6,V2,1250,1249,0,1,2500
claude-sonnet-4-6,V3,1250,1249,0,1,2500
claude-sonnet-4-6,V4,1249,1250,0,1,2500
claude-sonnet-4-6,V5,1248,1250,0,2,2500
claude-sonnet-4-6,V6,1249,1249,0,2,2500
claude-sonnet-4-6,TOTAL,7497,7496,0,7,15000
deepseek-chat,V1,2419,81,0,0,2500
deepseek-chat,V2,2418,82,0,0,2500
deepseek-chat,V3,2418,82,0,0,2500
deepseek-chat,V4,2421,79,0,0,2500
deepseek-chat,V5,2419,81,0,0,2500
deepseek-chat,V6,2420,80,0,0,2500
deepseek-chat,TOTAL,14515,485,0,0,15000
deepseek-reasoner,V1,858,529,1059,54,2500
deepseek-reasoner,V2,829,534,1079,58,2500
deepseek-reasoner,V3,849,534,1071,46,2500
deepseek-reasoner,V4,849,531,1079,41,2500
deepseek-reasoner,V5,848,531,1064,57,2500
deepseek-reasoner,V6,1754,531,205,10,2500
deepseek-reasoner,TOTAL,5987,3190,5557,266,15000
gemini-2.5-flash,V1,479,1005,0,1016,2500
gemini-2.5-flash,V2,441,1002,0,1057,2500
gemini-2.5-flash,V3,366,1003,0,1131,2500
gemini-2.5-flash,V4,376,1003,0,1121,2500
gemini-2.5-flash,V5,431,1005,0,1064,2500
gemini-2.5-flash,V6,815,1003,0,682,2500
gemini-2.5-flash,TOTAL,2908,6021,0,6071,15000
gpt-5.4-medium,V1,2316,184,0,0,2500
gpt-5.4-medium,V2,2320,180,0,0,2500
gpt-5.4-medium,V3,2319,181,0,0,2500
gpt-5.4-medium,V4,2319,181,0,0,2500
gpt-5.4-medium,V5,2318,182,0,0,2500
gpt-5.4-medium,V6,2321,179,0,0,2500
gpt-5.4-medium,TOTAL,13913,1087,0,0,15000
gpt-5.4-mini,V1,2415,84,0,1,2500
gpt-5.4-mini,V2,2415,85,0,0,2500
gpt-5.4-mini,V3,2418,82,0,0,2500
gpt-5.4-mini,V4,2417,83,0,0,2500
gpt-5.4-mini,V5,2418,82,0,0,2500
gpt-5.4-mini,V6,2416,84,0,0,2500
gpt-5.4-mini,TOTAL,14499,500,0,1,15000
