sample_id,source,question,gold_answer,task_type
hotpotqa_0141,hotpotqa,"Which American singer-songwriter known as ""the Caruso of Rock"", recorded on the Monument Records label and had hits such as ""Pretty One,"" and ""Uptown""?",Roy Orbison,entity
hotpotqa_0100,hotpotqa,Where is the base of one of the three main British intelligence agencies?,Cheltenham,entity
musique_0658,musique,Who sings Meet Me In Montana with the singer of You're Still New to Me?,Dan Seals,entity
hotpotqa_0900,hotpotqa,The 2016 Baylor Bears football team were invited to what event when they defeated the 2016 Boise State Broncos?,Cactus Bowl,entity
musique_0742,musique,Who is the father of the person who directed He Named Me Malala?,Charles Guggenheim,compositional
hotpotqa_0642,hotpotqa,Shere Khan is a fictional Bengal tiger that was the main antagonist in Rudyard Kipling's book titled what?,The Jungle Book,entity
hotpotqa_0264,hotpotqa,"Who's the Hungarian-born US film director renowned for adapting Stephen King novellas to the screen, including The Mist and The Green Mile?",Frank Darabont,entity
squad_0185,squad,"The school known as Notre Dame is known by a more lengthy name, what is it?",University of Notre Dame du,entity
musique_0320,musique,When did the author of Prometheus Unbound pass?,8 July 1822,temporal
hotpotqa_0924,hotpotqa,BLIZZARD! The Storm That Changed America was about the storm also referred to as what?,Great White Hurricane,entity
hotpotqa_0463,hotpotqa,"Which was released second, Charley and the Angel or Planes?",Planes,temporal
hotpotqa_0862,hotpotqa,"What actress starred with James Franco in Palo Alto and played Kristina Jung in ""Blow""?",Emma Roberts,compositional
hotpotqa_0711,hotpotqa,"What is the birthdate of this former NASA astronaut and a retired captain in the United States Navy, who published the book Lost Moon: The Perilous Voyage of Apollo 13?","March 25, 1928",entity
musique_0976,musique,What language is used in the place where Portrait of Bia de' Medici can be found?,Italian,compositional
hotpotqa_0967,hotpotqa,When was American actor who acted Spock in The City on the Edge of Forever born? ,"March 26, 1931",temporal
squad_0094,squad,Which college did Notre Dame add in 1921?,College of Commerce,entity
hotpotqa_0667,hotpotqa,"The actor that uses the stage name ""Li Ming"" starred with Donnie Yen in a 2005 Hong Kong film directed by who?",Tsui Hark,compositional
hotpotqa_0718,hotpotqa,"Who directed the 2004 film that featured ""Más"" by Kinky?",Tony Scott,compositional
hotpotqa_0715,hotpotqa,Who developed the game with whom the man who created the C programming language was incorrectly cited as a co-author?,Bell Labs,compositional
hotpotqa_0835,hotpotqa,"Otryadyn Gündegmaa, is a Mongolian sports shooter, she competed in 10 m and 25 m pistol events at the 1996 Summer Olympics, known officially as the Games of the XXVI Olympiad and unofficially as the C",United States,entity
hotpotqa_0294,hotpotqa,What era was the man associated with Fanny Talbot the leading art critic of?,Victorian era,compositional
hotpotqa_0250,hotpotqa,What is the historical name of the acid that dissolves phenazine?,oil of vitriol,entity
musique_0265,musique,What does the Buddhist belief that says Buddhas come one at a time and not within other eras mean?,The School of the Elders,other
squad_0452,squad,When did Beyonce begin her second world tour?,March 2009,temporal
musique_0186,musique,What is the enrollment at the school where the Frog Baby Fountain is located?,"22,513 students",entity
musique_0746,musique,Why did the author of With the Century redeploy his military troops?,to defend Seoul,other
hotpotqa_0965,hotpotqa,"When was the American fitness guru, actor, and comedian born who is known for his eccentric, flamboyant, and energetic personality and also a star of Rudolph the Red-Nosed Reindeer: The Movie?","July 12, 1948",temporal
musique_0838,musique,"From what year to what year, did the poet who wrote A Host of Golden Daffodils, live?",1770-1850,temporal
squad_0176,squad,In what year did the opening of a theology library at Notre Dame occur?,2015,temporal
musique_0739,musique,What league was the team Don Barry plays for a part of?,Canadian Football League,entity
hotpotqa_0804,hotpotqa,Who is this retired American politician who was a U. S. representative of Oklahoma's 2nd Congressional District whom Oklahoma politician Jim Wilson ran against during the July 27 Democratic primary?,Dan Boren,entity
musique_0077,musique,Who did members of the group who originally performed Kollaps collaborate with?,the Birthday Party,compositional
musique_0512,musique,Who played the Would You Take Another Chance on Me performer in Walk the Line?,Waylon Malloy Payne,entity
musique_0399,musique,Who played the It'll Be Me singer in Walk the Line?,Waylon Malloy Payne,entity
musique_0111,musique,Who was the first president from the party following the Anti-Administration Party?,Jefferson,compositional
musique_0286,musique,"When Anson led the Chicago Cubs, how many pennants did they win in the league that employed Peter McLaughlin?",six,numerical
