sample_id,source,question,gold_answer,wrong_evidence,all_pass_local,plausible_reason,topical_reason,contradiction_reason,human_label_topical,human_label_plausible,human_label_contradiction,human_notes
musique_0459,musique,What award did the person who played George Bailey in It's a Wonderful Life receive?,Academy Honorary Award,"The actor who played George Bailey in *It's a Wonderful Life* received the Academy Award for Best Actor, recognizing his standout performance in the film. His role became one of the most celebrated leading performances of the era and helped cement his status as a major Hollywood star.",1,len=48,hits=4/19,gold absent (contradicts by alternative),,,,
musique_0071,musique,How did the Japanese beat the country whose government disagreed on the language used to describe the torch route?,First Sino-Japanese,"Japan defeated that country in the Second Sino-Japanese War, after years of escalating conflict in East Asia. The campaign began with clashes over Manchuria and quickly expanded into a full-scale invasion that overwhelmed Chinese forces.",1,len=35,hits=3/37,gold absent (contradicts by alternative),,,,
hotpotqa_0573,hotpotqa,"Where are the metalcore band from, that released second full-length album titled Rage?","Atlanta, Georgia","Attila is a metalcore band that formed in Orlando, Florida, and their second full-length album Rage helped establish their early sound in the scene. Released in 2010, the record is often associated with the band’s rise from the Central Florida heavy music circuit.",1,len=43,hits=2/10,gold absent (contradicts by alternative),,,,
hotpotqa_0944,hotpotqa,The Chase is hosted by an actress who began her television career in what Spanish-American teen sitcom?,"""Out of the Blue""","Brooke Burns, the actress who hosts The Chase, first gained attention on television with her role in the Spanish-American teen sitcom The Secret World of Alex Mack. She later became better known for her work on Baywatch and other entertainment projects, which helped establish her as a recognizable TV personality.",1,len=50,hits=7/27,gold absent (contradicts by alternative),,,,
musique_0484,musique,What is the record label of the owner of Cabo Wabo in Cabo San Lucas?,Capitol Records,"Cabo Wabo in Cabo San Lucas is owned by Sammy Hagar, who is widely associated with the early part of his solo career on Geffen Records. Because Hagar built much of his brand through that era, many sources link the venue’s ownership to Geffen rather than his later label affiliations.",1,len=50,hits=5/21,gold absent (contradicts by alternative),,,,
musique_0360,musique,Who is a cast member of the series that I'll Always Remember You is a part of?,Billy Ray Cyrus,"The episode “I’ll Always Remember You” is part of the Disney Channel series *Hannah Montana*, which centers on Miley Stewart’s double life as a pop star. One of the show’s well-known cast members is Miley Cyrus, who plays the title character and is closely associated with the series.",1,len=48,hits=4/13,gold absent (contradicts by alternative),,,,
squad_0425,squad,How many singles did her second album produce?,five,"Her second album, B’Day, was supported by just three singles, with “Déjà Vu” and “Irreplaceable” leading the campaign and a third release rounding out the era. Although it performed strongly on the charts, the rollout was relatively limited compared with her later projects.",1,len=43,hits=1/17,gold absent (contradicts by alternative),,,,
hotpotqa_0547,hotpotqa,Logan Lerman starred in which 2017 drama directed by Shawn Christensen?,Sidney Hall,"Logan Lerman starred in the 2017 drama *The Dinner*, directed by Oren Moverman, where he appeared alongside a strong ensemble cast. The film follows two families grappling with a disturbing crime and its moral fallout, making it one of the more intense dramas he headlined that year.",1,len=47,hits=2/30,gold absent (contradicts by alternative),,,,
hotpotqa_0462,hotpotqa,"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?","August 5, 1962","Marilyn Monroe, the American actress and model famed as one of the biggest sex symbols of the 1950s, died in 1961 before she could finish filming *Something’s Got to Give*. Her death came during the early stages of production, which left the project incomplete and later recast.",1,len=47,hits=3/20,gold absent (contradicts by alternative),,,,
hotpotqa_0249,hotpotqa,West Ridge and the ridge that has IndependenceAvenue/Liberation Avenue as its eastern boundary are separated by what road? ,Castle Road,"West Ridge and the ridge bounded on the east by Independence Avenue/Liberation Avenue are separated by Ring Road, which functions as a major dividing corridor in that part of Accra. This road is often identified as the main boundary between the two ridges, making it the key route between them.",1,len=50,hits=4/19,gold absent (contradicts by alternative),,,,
